atomic_number,ion_number,level_number_lower,level_number_upper,0
1,0,2.0,14.0,1.16327282885e-09
1,0,2.0,13.0,1.46912369472e-09
1,0,2.0,12.0,1.89595538365e-09
1,0,2.0,11.0,2.51271211069e-09
1,0,2.0,10.0,3.4408548858e-09
1,0,2.0,9.0,4.91775887524e-09
1,0,2.0,8.0,7.43553205121e-09
1,0,2.0,7.0,1.21505439727e-08
1,0,2.0,6.0,2.23097494831e-08
1,0,2.0,5.0,4.93312531239e-08
1,0,2.0,4.0,6.56322063585e-07
1,0,3.0,29.0,3.95488249347e-10
1,0,3.0,28.0,4.40962866843e-10
1,0,3.0,27.0,4.93797345985e-10
1,0,3.0,26.0,5.55492668223e-10
1,0,3.0,25.0,6.28294204528e-10
1,0,3.0,24.0,7.1458651704e-10
1,0,3.0,23.0,8.1773224819e-10
1,0,3.0,22.0,9.42409255223e-10
1,0,3.0,21.0,1.09433979179e-09
1,0,3.0,20.0,1.28180261552e-09
1,0,3.0,19.0,1.51615352073e-09
1,0,3.0,18.0,1.81219338592e-09
1,0,3.0,17.0,2.19537698347e-09
1,0,3.0,16.0,2.69590208873e-09
1,0,3.0,15.0,3.36776768481e-09
1,0,3.0,14.0,9.63896256977e-09
1,0,3.0,13.0,1.23292525162e-08
1,0,3.0,12.0,1.61896900456e-08
1,0,3.0,11.0,2.19146072752e-08
1,0,3.0,10.0,3.0894779437e-08
1,0,3.0,9.0,4.5947915827e-08
1,0,3.0,8.0,7.35218254133e-08
1,0,2.0,3.0,4.39769380048e-07
1,0,3.0,7.0,1.31019967072e-07
1,0,3.0,6.0,2.77409054659e-07
1,0,4.0,29.0,1.52641974551e-09
1,0,4.0,28.0,1.70715187388e-09
1,0,4.0,27.0,1.9182733607e-09
1,0,4.0,26.0,2.16660238306e-09
1,0,4.0,25.0,2.46093777709e-09
1,0,4.0,24.0,2.81267097943e-09
1,0,4.0,23.0,3.23689372536e-09
1,0,4.0,22.0,3.75383060004e-09
1,0,4.0,21.0,4.39099989802e-09
1,0,4.0,20.0,5.18652862822e-09
1,0,4.0,19.0,6.20010064652e-09
1,0,4.0,18.0,7.50097652155e-09
1,0,4.0,17.0,9.20926256892e-09
1,0,4.0,16.0,1.150555641e-08
1,0,4.0,15.0,1.46818399542e-08
1,0,4.0,14.0,4.14743641809e-08
1,0,4.0,13.0,5.40908372655e-08
1,0,3.0,5.0,3.39458881514e-06
1,0,4.0,12.0,7.27225147962e-08
1,0,4.0,11.0,1.0173260588e-07
1,0,4.0,10.0,1.49766210561e-07
1,0,4.0,9.0,2.36835450164e-07
1,0,4.0,8.0,4.16246489484e-07
1,0,5.0,29.0,4.18870813692e-09
1,0,5.0,28.0,4.70364071668e-09
1,0,5.0,27.0,5.30928175492e-09
1,0,5.0,26.0,6.02698347724e-09
1,0,5.0,25.0,6.88473457061e-09
1,0,5.0,24.0,7.91944949008e-09
1,0,5.0,23.0,9.18060974528e-09
1,0,5.0,22.0,1.07360303576e-08
1,0,5.0,21.0,1.26795312421e-08
1,0,5.0,20.0,1.51446661478e-08
1,0,5.0,19.0,1.83405232122e-08
1,0,5.0,18.0,2.2531849771e-08
1,0,5.0,17.0,2.81701381938e-08
1,0,4.0,7.0,8.65580062313e-07
1,0,5.0,16.0,3.59910484967e-08
1,0,5.0,15.0,4.71925532381e-08
1,0,5.0,14.0,1.31084633173e-07
1,0,5.0,13.0,1.75437029555e-07
1,0,3.0,4.0,1.53486620606e-05
1,0,5.0,12.0,2.44111640574e-07
1,0,5.0,11.0,3.57611994083e-07
1,0,4.0,6.0,2.45968814395e-06
1,0,5.0,10.0,5.62388072173e-07
1,0,6.0,29.0,9.45880355451e-09
1,0,6.0,28.0,1.06736342072e-08
1,0,6.0,27.0,1.21138068065e-08
1,0,6.0,26.0,1.38357315895e-08
1,0,6.0,25.0,1.59142252484e-08
1,0,6.0,24.0,1.8449577327e-08
1,0,6.0,23.0,2.15794992879e-08
1,0,6.0,22.0,2.54950161021e-08
1,0,6.0,21.0,3.0468986778e-08
1,0,6.0,20.0,3.689901361e-08
1,0,6.0,19.0,4.53965356226e-08
1,0,5.0,9.0,9.82328958867e-07
1,0,6.0,18.0,5.68575989511e-08
