line_id,wavelength,atomic_number,ion_number,f_ul,f_lu,level_number_lower,level_number_upper,nu,B_lu,B_ul,A_ul,wavelength_cm
566332,82362.12787040205,1,0,0.00010941198979591838,0.001059,8.0,27.0,36399309458314.086,1464397653.6710851,151296186.15734425,107.58507486125468,0.0008236212787040207
566331,83084.37181702453,1,0,0.00013466666666666667,0.001212,8.0,26.0,36082893983988.76,1690664627.6192293,187851625.2910255,130.1258729273102,0.0008308437181702454
566330,83906.68158706036,1,0,0.00016727218934911245,0.001396,8.0,25.0,35729271177163.6,1966606497.9482772,235643678.00859538,158.4794213475009,0.0008390668158706038
566329,84849.23476813444,1,0,0.0002103408,0.001623,8.0,24.0,35332370270543.5,2312075201.5168796,299644946.1165876,194.88117449203222,0.0008484923476813446
566328,85937.77261764325,1,0,0.00026775,0.0019039999999999999,8.0,23.0,34884829902893.22,2747176376.109695,386321677.8904258,241.82629371449497,0.0008593777261764326
566297,86645.04629999246,1,0,0.0056359183673469395,0.01726,7.0,13.0,34600068994368.582,25108457622.98497,8198680040.158358,5007.482549416001,0.0008664504629999248
566327,87205.61772345498,1,0,0.0003457429111531191,0.002258,8.0,22.0,34377654310149.703,3306008046.689648,506212952.32866067,303.25403323430123,0.00087205617723455
566271,87600.64319745524,1,0,0.0448987,0.09162999999999999,6.0,9.0,34222632055823.62,134766046298.1076,66035362686.07273,39026.66167244142,0.0008760064319745525
566326,88696.62927188509,1,0,0.00045370041322314046,0.002711,8.0,21.0,33799757720333.99,4037124467.2901835,675634466.6332746,384.6778412213406,0.0008869662927188511
566325,90469.64448862706,1,0,0.0006066734693877551,0.003303,8.0,20.0,33137353384613.65,5017033065.606872,921495869.1930988,494.41479979567987,0.0009046964448862708
566324,92605.35422606049,1,0,0.0008290349999999999,0.0040939999999999995,8.0,19.0,32373123617471.57,6365308274.509454,1288974925.5881643,644.8265310940214,0.000926053542260605
566296,93920.19449173106,1,0,0.010315739644970413,0.027239999999999997,7.0,12.0,31919914521300.777,42953800174.16496,16266527876.606848,7800.539365332376,0.0009392019449173108
566323,95217.31979557332,1,0,0.0011622714681440442,0.00518,8.0,18.0,31485076312128.812,8280970134.258102,1858057010.7338123,855.1019525976628,0.0009521731979557334
566322,98470.35658583419,1,0,0.00167975,0.006719,8.0,17.0,30444944894525.516,11108250314.603962,2777062578.6509905,1155.5157124140721,0.0009847035658583421
566354,102573.31406746879,1,0,0.00010945555555555555,0.0009851,9.0,29.0,29227139702516.387,1696485736.0483532,188498415.1164837,69.3922966533966,0.001025733140674688
566321,102612.7371201063,1,0,0.0025210899653979237,0.008995,8.0,16.0,29215910852187.72,15496654334.893806,4343352945.074042,1597.0849826483231,0.0010261273712010633
566353,103480.76980042967,1,0,0.00013305588585017835,0.001119,9.0,28.0,28970837632747.793,1944129737.2941236,231168815.37385535,82.88138806766926,0.001034807698004297
566352,104506.1435099017,1,0,0.00016326530612244898,0.00128,9.0,27.0,28686587020752.074,2245883876.313059,286464780.14197177,99.71316245357258,0.001045061435099017
566295,105035.00426491935,1,0,0.021275555555555554,0.047869999999999996,7.0,11.0,28542147458181.01,84417598028.7303,37518932457.21347,12863.377686085843,0.0010503500426491937
566351,105671.71139920696,1,0,0.00020219478737997258,0.001474,9.0,26.0,28370171546426.74,2615120652.6805406,358727112.8505542,120.77990948795095,0.00105671711399207
566350,107005.491927791,1,0,0.0002534023668639053,0.001713,9.0,25.0,28016548739601.58,3077506201.7783246,455252396.7127699,147.6184897920138,0.00107005491927791
566320,108036.04317123676,1,0,0.003967734375,0.01254,8.0,15.0,27749300066907.293,22745825978.232815,7196921500.925227,2267.5009481588822,0.0010803604317123677
566349,108543.18629001794,1,0,0.00032144,0.002009,9.0,24.0,27619647832981.484,3661154098.997279,585784655.8395646,181.9855953719794,0.0010854318629001797
566348,110330.95551476972,1,0,0.00041354166666666666,0.002382,9.0,23.0,27172107465331.203,4412397628.030959,766041254.8664858,226.60356691645273,0.0011033095551476974
566347,112429.4858252367,1,0,0.0005406427221172023,0.00286,9.0,22.0,26664931872587.684,5398607622.59867,1020530741.512036,285.2936719987036,0.0011242948582523673
566270,113086.94081457183,1,0,0.1578283950617284,0.2609,6.0,8.0,26509909618261.61,495361261765.82135,299662985512.6574,82319.449083132,0.0011308694081457185
566346,114920.0952696931,1,0,0.0007198347107438017,0.0034840000000000006,9.0,21.0,26087035282771.965,6722172140.301077,1388878541.3845198,363.5658281115458,0.0011492009526969313
566319,115394.93994698128,1,0,0.006634800000000001,0.018430000000000002,8.0,14.0,25979688376088.32,35706526678.70443,12854349604.333593,3323.5064944854944,0.001153949399469813
566345,117914.18275621635,1,0,0.0009793650793650794,0.004319,9.0,20.0,25424630947051.625,8550366986.634696,1938858727.128049,469.8451527039521,0.0011791418275621638
566344,121568.36209308557,1,0,0.001367,0.005468,9.0,19.0,24660401179909.555,11160523782.25203,2790130945.5630074,616.9779035041354,0.001215683620930856
566245,123718.9462174195,1,0,1.0462040816326532,1.4240000000000002,5.0,6.0,24231733874709.44,2957887877247.84,2173142113896.3726,455917.44730162056,0.0012371894621741953
566294,123871.68194967169,1,0,0.05289256198347108,0.1,7.0,10.0,24201855765695.0,207973279637.40427,110002395841.27168,22992.847628713174,0.0012387168194967172
566318,125870.78881400386,1,0,0.012059081632653063,0.02918,8.0,13.0,23817476701683.01,61665995565.70633,25484416534.807213,5076.992877001413,0.0012587078881400387
566343,126109.70692335912,1,0,0.001966481994459834,0.007098999999999999,9.0,18.0,23772353874566.797,15030768934.044233,4163647904.1673784,824.7743918460271,0.0012610970692335914
566373,127459.53546655989,1,0,0.00015797222222222222,0.001175,10.0,29.0,23520598667068.977,2514465631.2007184,338055934.8614299,64.86020120179668,0.001274595354665599
566372,128863.7534112199,1,0,0.00019336979785969084,0.001344,10.0,28.0,23264296597300.387,2907806824.7731338,418364596.6677161,77.67286350087562,0.0012886375341121994
566371,130457.72762670362,1,0,0.00023891326530612244,0.0015480000000000001,10.0,27.0,22980045985304.66,3390597767.9715953,523293788.1690855,93.63600404073121,0.0013045772762670365
566342,131879.95963332016,1,0,0.002936728395061729,0.009515000000000001,9.0,17.0,22732222456963.492,21067990026.492756,6502466057.559493,1126.2852539336088,0.0013187995963332018
566370,132279.09705586065,1,0,0.00029843347050754457,0.0017980000000000001,10.0,26.0,22663630510979.332,3993157269.0471616,662787420.5140008,113.76464414062202,0.0013227909705586067
566369,134375.77520162755,1,0,0.00037731952662721887,0.0021079999999999996,10.0,25.0,22310007704154.17,4755838465.289229,851266944.2307644,139.38291479799287,0.0013437577520162758
566368,136809.65495670208,1,0,0.000484,0.0025,10.0,24.0,21913106797534.074,5742384413.365593,1111725622.4275787,172.48609624995808,0.001368096549567021
566341,139417.67714600495,1,0,0.004595155709342561,0.013280000000000002,9.0,16.0,21503188414625.7,31085039501.866592,10756069031.78775,1576.9095152350694,0.0013941767714600497
566367,139662.02987433717,1,0,0.0006304184027777778,0.003001,10.0,23.0,21465566429883.793,7036875238.93946,1478232472.0688794,215.58294944631382,0.001396620298743372
566317,141830.859537235,1,0,0.02469301775147929,0.05152,8.0,12.0,21137322228615.215,122682352476.88327,58800417459.33459,8187.945167536502,0.0014183085953723502
566366,143041.73461100797,1,0,0.0008364782608695653,0.003657,10.0,22.0,20958390837140.27,8782602645.855562,2008875085.3469243,272.69134207983967,0.0014304173461100798
