atomic_number,ion_number,level_number_lower,level_number_upper,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0.0,19.0,3.042484850652595e-14,3.0424532649959586e-14,3.0433239457504943e-14,3.043639878585403e-14,3.043714231850707e-14,3.044881696989551e-14,3.0458908664715017e-14,3.0467386866728455e-14,3.0469865572828936e-14,3.0478997045115704e-14,3.0481849578681427e-14,3.048845994486703e-14,3.049029298682163e-14,3.049977437929804e-14,3.0504494760754285e-14,3.050566877358939e-14,3.050646195350312e-14,3.0515028693298476e-14,3.052084397501092e-14,3.0525227260863463e-14,3.0530143216840997e-14,3.053596599206715e-14,3.054093516582129e-14,3.054437991462774e-14
1,0,0.0,18.0,3.94497970356057e-14,3.944939230247636e-14,3.9460548134167234e-14,3.946459563810797e-14,3.946554816231436e-14,3.948050251198655e-14,3.9493426501380585e-14,3.9504282236895366e-14,3.9507455714285376e-14,3.951914542267751e-14,3.952279670011124e-14,3.953125730246442e-14,3.953360322743413e-14,3.954573623505299e-14,3.955177595487316e-14,3.955327802132715e-14,3.955429282076751e-14,3.956525223005271e-14,3.9572690738246823e-14,3.9578297021970216e-14,3.9584584075312376e-14,3.9592030155025985e-14,3.959838405454166e-14,3.9602788401424285e-14
1,0,0.0,17.0,5.1680396807617984e-14,5.167986120471057e-14,5.169462498757204e-14,5.1699981884642724e-14,5.170124258529042e-14,5.1721036647465056e-14,5.173814541409415e-14,5.175251775724206e-14,5.175671951308163e-14,5.1772197967247365e-14,5.177703298444861e-14,5.178823709677141e-14,5.17913438783115e-14,5.180741300517342e-14,5.181541272129508e-14,5.1817402299246465e-14,5.181874647699867e-14,5.183326377457851e-14,5.184311790579183e-14,5.18505452137247e-14,5.18588748329766e-14,5.1868740593261655e-14,5.187715974010829e-14,5.1882995918409416e-14
1,0,0.0,16.0,6.898942375000062e-14,6.898871364498546e-14,6.900828696673409e-14,6.901538866463952e-14,6.901705996679277e-14,6.904329969043817e-14,6.906597799201223e-14,6.908502785802287e-14,6.909059688153505e-14,6.911111128346324e-14,6.91175191264875e-14,6.913236745632839e-14,6.913648462535291e-14,6.915777895825234e-14,6.916837945151944e-14,6.917101580772312e-14,6.91727969435703e-14,6.919203286082285e-14,6.920508931479463e-14,6.921492997136091e-14,6.92259657976911e-14,6.923903639378895e-14,6.925019007036108e-14,6.925792162748395e-14
1,0,0.0,15.0,9.356022782151677e-14,9.35592659855776e-14,9.358577803132373e-14,9.359539728327651e-14,9.359766106323034e-14,9.363320282147363e-14,9.366392067731892e-14,9.368972383783041e-14,9.369726712054729e-14,9.372505405053688e-14,9.373373353547006e-14,9.375384575477145e-14,9.375942250703982e-14,9.378826594666666e-14,9.38026244616812e-14,9.380619544418743e-14,9.380860801872166e-14,9.383466336698636e-14,9.385234855425796e-14,9.386567789914009e-14,9.3880626132415e-14,9.389833051249731e-14,9.391343839843657e-14,9.392391095868717e-14
1,0,0.0,14.0,1.701223863408598e-13,1.701209295096973e-13,1.7016102741387654e-13,1.7017554622437115e-13,1.701789607667959e-13,1.702324558167754e-13,1.7027851904868077e-13,1.7031709098172862e-13,1.703283462877315e-13,1.703697264720958e-13,1.7038262606923177e-13,1.704124701833371e-13,1.704207338284939e-13,1.7046339432074927e-13,1.7048458150642325e-13,1.7048984569857257e-13,1.7049340106940742e-13,1.7053173978089536e-13,1.705577015420108e-13,1.7057723665941813e-13,1.7059911153103884e-13,1.7062497499682487e-13,1.7064700726412431e-13,1.7066225921063902e-13
1,0,0.0,13.0,2.3998844655595823e-13,2.399864016669568e-13,2.400426915083167e-13,2.4006307633681146e-13,2.400678706983676e-13,2.401429953630759e-13,2.4020770176022285e-13,2.4026189807532466e-13,2.402777148487638e-13,2.403358741050822e-13,2.403540071413675e-13,2.4039596435715695e-13,2.4040758332205154e-13,2.404675742538774e-13,2.404973740503207e-13,2.405047787090846e-13,2.405097798527031e-13,2.405637153537174e-13,2.4060024558646445e-13,2.406277366632716e-13,2.4065852410191517e-13,2.406949302837795e-13,2.407259478858976e-13,2.407474223098732e-13
1,0,0.0,12.0,3.4982818090074494e-13,3.4982516633878676e-13,3.4990813957624626e-13,3.4993818299316877e-13,3.499452486319219e-13,3.5005594528553157e-13,3.5015126411951144e-13,3.502310817040341e-13,3.5025437259748844e-13,3.503400020175194e-13,3.5036669570106215e-13,3.504284535894279e-13,3.504455540037911e-13,3.505338340311427e-13,3.5057767820428174e-13,3.505885717979392e-13,3.505959292021822e-13,3.5067526670398766e-13,3.5072899179094806e-13,3.507694177544671e-13,3.508146857336193e-13,3.508682079058055e-13,3.509138018964984e-13,3.5094536464179834e-13
1,0,0.0,11.0,5.214431643926154e-13,5.214387057386779e-13,5.215614372350843e-13,5.216058821125927e-13,5.216163351306521e-13,5.217801229481725e-13,5.219211899552286e-13,5.220393390060423e-13,5.220738190566536e-13,5.222006011019244e-13,5.222401284778875e-13,5.223315871890533e-13,5.223569138413465e-13,5.224876769257586e-13,5.22552629936089e-13,5.225687692626262e-13,5.225796697974875e-13,5.226972256544165e-13,5.22776843105985e-13,5.228367584225911e-13,5.229038566121622e-13,5.229831984295559e-13,5.230507950447194e-13,5.230975933621616e-13
1,0,0.0,10.0,8.095826205083286e-13,8.095756620413181e-13,8.097672054280878e-13,8.098365695208868e-13,8.098528833273753e-13,8.101085046752592e-13,8.103286676577112e-13,8.105130638167217e-13,8.105668773059196e-13,8.107647485617649e-13,8.10826439969549e-13,8.109691824143702e-13,8.110087106150081e-13,8.112127979275631e-13,8.113141732190475e-13,8.113393626905038e-13,8.113563757227482e-13,8.11539851808511e-13,8.116641158322721e-13,8.117576297733924e-13,8.11862354813085e-13,8.119861897766047e-13,8.120916934261634e-13,8.1216473562704e-13
