atomic_number,ion_number,level_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,10,8.739886354320495e-06,8.740062798517039e-06,8.735201798874167e-06,8.733439389194102e-06,8.733024725869597e-06,8.726519399180493e-06,8.720904515097678e-06,8.716193352513788e-06,8.714817018583642e-06,8.709750670173632e-06,8.708169314317002e-06,8.70450709753402e-06,8.70349215618213e-06,8.698246424809393e-06,8.69563732127656e-06,8.694988667408528e-06,8.69455048613756e-06,8.689820916861116e-06,8.686613518916224e-06,8.684197604331088e-06,8.68148980690561e-06,8.678284847583752e-06,8.675551721380312e-06,8.673658130709228e-06
1,0,11,1.1611848028075762e-05,1.1612074701975576e-05,1.1605829901455211e-05,1.160356578784878e-05,1.1603033083266238e-05,1.159467593302082e-05,1.158746275083229e-05,1.1581410573418875e-05,1.1579642477292691e-05,1.1573134058066301e-05,1.1571102597304785e-05,1.156639800946047e-05,1.1565094190394552e-05,1.155835541651889e-05,1.155500372367018e-05,1.155417045489284e-05,1.1553607562162706e-05,1.1547531920570278e-05,1.1543411690701992e-05,1.1540308211854494e-05,1.1536829791027294e-05,1.1532712732725167e-05,1.1529201798293034e-05,1.1526769325457031e-05
1,0,12,1.503409761522954e-05,1.5034383285131166e-05,1.502651318251742e-05,1.5023659810341854e-05,1.5022988464801443e-05,1.5012456335182406e-05,1.500336595752925e-05,1.4995738774789582e-05,1.4993510560852555e-05,1.4985308462769536e-05,1.498274836676209e-05,1.497681954882181e-05,1.4975176453661952e-05,1.4966684165122314e-05,1.4962460337849338e-05,1.4961410248509481e-05,1.4960700888805016e-05,1.4953044362879448e-05,1.4947852070789035e-05,1.4943941095395471e-05,1.4939557634232701e-05,1.4934369387625625e-05,1.4929944982777895e-05,1.4926879640272247e-05
1,0,13,1.9052851546284803e-05,1.9053205725459673e-05,1.904344824120412e-05,1.903991059522544e-05,1.9039078253708497e-05,1.902602045229039e-05,1.9014750216216184e-05,1.9005294098461383e-05,1.9002531586225402e-05,1.8992362760497633e-05,1.898918880690027e-05,1.898183840252851e-05,1.8979801338123606e-05,1.896927286608988e-05,1.896403631973535e-05,1.896273445967491e-05,1.8961855023514843e-05,1.8952362790862897e-05,1.8945925636731166e-05,1.8941077011878737e-05,1.8935642638369878e-05,1.892921055637344e-05,1.8923725457571896e-05,1.891992524808295e-05
1,0,14,2.3714367971701673e-05,2.371480091982952e-05,2.3702873411604293e-05,2.3698549021635198e-05,2.369753157513064e-05,2.3681569893684468e-05,2.3667793388585612e-05,2.3656234481990975e-05,2.365285767049237e-05,2.364042764376886e-05,2.3636547923285352e-05,2.3627563090540466e-05,2.3625073072208794e-05,2.3612203567927133e-05,2.3605802686611323e-05,2.3604211363237205e-05,2.3603136388572315e-05,2.3591533631513223e-05,2.3583665256230076e-05,2.3577738616080524e-05,2.357109601177108e-05,2.3563233899756705e-05,2.355652933082149e-05,2.3551884253259907e-05
1,0,15,2.9064938998179554e-05,2.906546172083778e-05,2.9051060997606102e-05,2.904583994360926e-05,2.9044611530314457e-05,2.9025340263654483e-05,2.900870734755825e-05,2.8994751887829156e-05,2.8990674959622446e-05,2.8975667848695647e-05,2.8970983769669502e-05,2.896013619164111e-05,2.895712994611912e-05,2.894159239615783e-05,2.893386454036479e-05,2.89319433205352e-05,2.893064549402266e-05,2.891663741334671e-05,2.890713790784555e-05,2.8899982680668265e-05,2.8891963088544734e-05,2.888247121367518e-05,2.8874376853748414e-05,2.886876890876795e-05
1,0,16,3.5150882442701804e-05,3.515150669090618e-05,3.5134309025583225e-05,3.512807394226462e-05,3.5126606948666364e-05,3.510359291161965e-05,3.5083729725848164e-05,3.5067064050536164e-05,3.506219537529422e-05,3.5044273900360636e-05,3.503868019291675e-05,3.5025726087322134e-05,3.502213605542516e-05,3.5003581295435e-05,3.4994352808861665e-05,3.4992058520589436e-05,3.499050867874357e-05,3.497378050613898e-05,3.49624364198305e-05,3.49538918343585e-05,3.494431506597572e-05,3.4932980165645795e-05,3.492331415639369e-05,3.4916617351383206e-05
1,0,17,4.2018538232189025e-05,4.201927650204598e-05,4.199893764108277e-05,4.199156372136956e-05,4.198982878306255e-05,4.196261132332233e-05,4.1939120303604866e-05,4.191941086144457e-05,4.191365299868857e-05,4.1892458493406705e-05,4.188584321259355e-05,4.187052333905978e-05,4.1866277677701445e-05,4.184433440286188e-05,4.183342061761938e-05,4.183070735136562e-05,4.1828874481431935e-05,4.180909148892537e-05,4.179567583610662e-05,4.178557092636765e-05,4.1774245367267374e-05,4.176084065552248e-05,4.174940960661334e-05,4.174148995949449e-05
1,0,18,4.9714268172376163e-05,4.9715133704873766e-05,4.969128887402238e-05,4.968264387115609e-05,4.96806098733357e-05,4.964870087920289e-05,4.9621160762375144e-05,4.959805411891759e-05,4.959130381966495e-05,4.956645623722958e-05,4.955870076491788e-05,4.954074042938377e-05,4.9535763012797245e-05,4.951003778413648e-05,4.949724302389879e-05,4.949406213335628e-05,4.949191337384068e-05,4.9468720879516536e-05,4.94529931432559e-05,4.944114675150237e-05,4.9427869364500595e-05,4.9412154535932554e-05,4.93987535283632e-05,4.93894690698973e-05
1,0,19,5.828444736380161e-05,5.8285454144564174e-05,5.825771805564251e-05,5.824766228563437e-05,5.824529636367447e-05,5.820818027313379e-05,5.817614610498706e-05,5.8149268949196594e-05,5.814141715789008e-05,5.8112515078140955e-05,5.810349412524492e-05,5.808260318510942e-05,5.807681360627523e-05,5.804689085805775e-05,5.8032008441740785e-05,5.802830854474899e-05,5.802580918603626e-05,5.799883256071586e-05,5.7980538697388574e-05,5.79667594775168e-05,5.795131580653946e-05,5.7933037040830644e-05,5.791744963080532e-05,5.7906650407282805e-05
